Product,Link,Quantity,Price USD,total
ESP32-S3-WROOM-1,https://jlcpcb.com/partdetail/3198295-ESP32_S3_WROOM_1N4/C2913197,1,$4.49,$4.49
FFC2B28-12-G ,https://www.digikey.ph/en/products/detail/gct/FFC2B28-12-G/10656933?s=N4IgTCBcDaIGJwMJgEJgBwFoCMZMHEACEAXQF8g,1,$0.40,$0.40
LESD5D5.0CT1G,https://jlcpcb.com/partdetail/LRC-LESD5D50CT1G/C383211,3,$0.40,$1.20
1N5819HW-7-F,https://jlcpcb.com/partdetail/DiodesIncorporated-1N5819HW_7F/C82544,1,$0.04,$0.04
2.4k resistor,https://www.digikey.ph/en/products/detail/panasonic-industry/ERA-2AEB242X/1706014,2,$0.11,$0.22
4.7k resistor,https://www.digikey.ph/en/products/detail/yageo/RC0402JR-074K7L/726477,7,$0.10,$0.70
SK-Mini-e,https://jlcpcb.com/partdetail/OPSCOOptoelectronics-SK6812MINIE/C5149201,2,$0.09,$0.18
C2912598,https://jlcpcb.com/partdetail/C2912598,2,$0.08,$0.16
Resistor,https://jlcpcb.com/partdetail/RESI-PTFR0805B200RP9/C2849095,5,$0.07,$0.35
Type C female,https://jlcpcb.com/parts/componentSearch?searchTxt=C2765186,1,$0.09,$0.09
JLCPCB,JLCPCB,1,$2.00,$2.00
10uf cap,https://www.digikey.ph/en/products/detail/samsung-electro-mechanics/CL21A106KAYNNNG/3894413?s=N4IgTCBcDaIMIBkwEYCCyAMA2A0qgmgHLEDiIAugL5A,5,$0.09,$0.45
1uf capacitor,https://www.digikey.ph/en/products/detail/samsung-electro-mechanics/CL10A105KO8NNNC/3886692?s=N4IgTCBcDaIIxgOwDYC0cAMBmALO1AcgCIgC6AvkA,2,$0.10,$0.20
10 ohm resistor,https://www.digikey.ph/en/products/detail/stackpole-electronics-inc/RNCP0603FTD10K0/2240139?s=N4IgTCBcDaIEoDkDCAFADANjQZgGIBUARARjQGk0l8BaBQkAXQF8g,5,$0.01,$0.06
CAP CER 0.1UF 50V X7R 0603,https://www.digikey.ph/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274?s=N4IgTCBcDaIIxgOwDYC0BhAMnADAIVwBYBpPADgDkrMAVAJVQoBEQBdAXyA,10,$0.03,$0.27
4518-AMS1117-3.3TR-ND,https://www.digikey.ph/en/products/detail/umw/AMS1117-3-3/17635254?s=N4IgTCBcDaICwFYCMAOAtAQQLIGUn4HY0BmAOmIBUAlNAOQBEQBdAXyA,1,$0.30,$0.30
399-C0603C220J5GAC7867TR-ND,https://www.digikey.ph/en/products/detail/kemet/C0603C220J5GACTU/411055?s=N4IgTCBcDaIMwE4EFoDCAGAbOuqxnQCkBWAcQEFUB2ADkyoBUAlZAOQBEQBdAXyA,2,$0.13,$0.26
smd Buttons,https://www.digikey.ph/en/products/detail/c-k/PTS810SJG250SMTR-LFS/4176612?s=N4IgTCBcDaIMIGkByBGADAVjQFgCoCUBaJAERAF0BfIA,5,$0.65,$3.25
Pwr led,https://www.digikey.ph/en/products/detail/liteon/LTST-C190TBKT/388529?s=N4IgTCBcDaIIwDYAMBaRAWBKwoHIBEQBdAXyA,1,$0.17,$0.17
2N7002,https://www.digikey.ph/en/products/detail/diotec-semiconductor/2N7002/13163336,1,$0.16,$0.16
DLC-T1.3CDS#1,https://www.digikey.ph/en/products/detail/dlc-display-co-ltd/DLC-T1-3CDS-1/26822644,1,$17.97,$17.97
C0720B001F,https://www.digikey.ph/en/products/detail/vybronics-inc/VC0720B001F/6009905?s=N4IgTCBcDaIMIAYDsYECEEIIwDEQF0BfIA,1,$3.23,$3.23
DRV2605LDGST,https://www.digikey.ph/en/products/detail/texas-instruments/DRV2605LDGST/5023854?s=N4IgTCBcDaICICUBqYBsAGArAGTgcQGUAVEAXQF8g,1,$3.45,$3.45
BMI270,https://www.digikey.ph/en/products/detail/bosch-sensortec/BMI270/9974486,1,$4.23,$4.23
DM3AT-SF-PEJM5,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/DM3AT-SF-PEJM5/2533565,1,$2.85,$2.85
,,,,
,,,,TOTAL
,,,,$36.15